"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_iz_cfgvehicles_atlasbipod0","$UNT$ATLAS Bipod","$UNT$ATLAS Bipod","$UNT$ATLAS Bipod","$UNT$ATLAS Bipod","$UNT$ATLAS Bipod","$UNT$ATLAS Bipod","$UNT$ATLAS Bipod","$UNT$ATLAS Bipod","$UNT$ATLAS Bipod","$UNT$ATLAS Bipod","$UNT$ATLAS Bipod","$UNT$ATLAS Bipod","$UNT$ATLAS Bipod","$UNT$ATLAS Bipod",

"str_iz_cfgvehicles_ak_woodhndgrd_camo0","$UNT$A camo painted basic wooden handguard for A-K based rifles.","$UNT$A camo painted basic wooden handguard for A-K based rifles.","$UNT$A camo painted basic wooden handguard for A-K based rifles.","$UNT$A camo painted basic wooden handguard for A-K based rifles.","$UNT$A camo painted basic wooden handguard for A-K based rifles.","$UNT$A camo painted basic wooden handguard for A-K based rifles.","$UNT$A camo painted basic wooden handguard for A-K based rifles.","$UNT$A camo painted basic wooden handguard for A-K based rifles.","$UNT$A camo painted basic wooden handguard for A-K based rifles.","$UNT$A camo painted basic wooden handguard for A-K based rifles.","$UNT$A camo painted basic wooden handguard for A-K based rifles.","$UNT$A camo painted basic wooden handguard for A-K based rifles.","$UNT$A camo painted basic wooden handguard for A-K based rifles.","$UNT$A camo painted basic wooden handguard for A-K based rifles.",
"str_iz_cfgvehicles_ak_woodhndgrd_black0","$UNT$A black painted basic wooden handguard for A-K based rifles.","$UNT$A black painted basic wooden handguard for A-K based rifles.","$UNT$A black painted basic wooden handguard for A-K based rifles.","$UNT$A black painted basic wooden handguard for A-K based rifles.","$UNT$A black painted basic wooden handguard for A-K based rifles.","$UNT$A black painted basic wooden handguard for A-K based rifles.","$UNT$A black painted basic wooden handguard for A-K based rifles.","$UNT$A black painted basic wooden handguard for A-K based rifles.","$UNT$A black painted basic wooden handguard for A-K based rifles.","$UNT$A black painted basic wooden handguard for A-K based rifles.","$UNT$A black painted basic wooden handguard for A-K based rifles.","$UNT$A black painted basic wooden handguard for A-K based rifles.","$UNT$A black painted basic wooden handguard for A-K based rifles.","$UNT$A black painted basic wooden handguard for A-K based rifles.",

"str_iz_cfgvehicles_ak_woodbttstck_camo0","$UNT$A standard camo painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard camo painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard camo painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard camo painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard camo painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard camo painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard camo painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard camo painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard camo painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard camo painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard camo painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard camo painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard camo painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard camo painted wooden buttstock that comes as a default with A-K based rifles.",
"str_iz_cfgvehicles_ak_woodbttstck_black0","$UNT$A standard black painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard black painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard black painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard black painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard black painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard black painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard black painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard black painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard black painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard black painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard black painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard black painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard black painted wooden buttstock that comes as a default with A-K based rifles.","$UNT$A standard black painted wooden buttstock that comes as a default with A-K based rifles.",

"str_iz_cfgvehicles_ak_railhndgrd_green0","$UNT$Aftermarket green painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket green painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket green painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket green painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket green painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket green painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket green painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket green painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket green painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket green painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket green painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket green painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket green painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket green painted handguard with rails, fits AK based rifles.",
"str_iz_cfgvehicles_ak_railhndgrd_black0","$UNT$Aftermarket black painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket black painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket black painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket black painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket black painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket black painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket black painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket black painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket black painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket black painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket black painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket black painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket black painted handguard with rails, fits AK based rifles.","$UNT$Aftermarket black painted handguard with rails, fits AK based rifles.",

"str_iz_cfgvehicles_ak_plasticbttstck_green0","$UNT$A green painted plastic buttstock for A-K based rifles.","$UNT$A green painted plastic buttstock for A-K based rifles.","$UNT$A green painted plastic buttstock for A-K based rifles.","$UNT$A green painted plastic buttstock for A-K based rifles.","$UNT$A green painted plastic buttstock for A-K based rifles.","$UNT$A green painted plastic buttstock for A-K based rifles.","$UNT$A green painted plastic buttstock for A-K based rifles.","$UNT$A green painted plastic buttstock for A-K based rifles.","$UNT$A green painted plastic buttstock for A-K based rifles.","$UNT$A green painted plastic buttstock for A-K based rifles.","$UNT$A green painted plastic buttstock for A-K based rifles.","$UNT$A green painted plastic buttstock for A-K based rifles.","$UNT$A green painted plastic buttstock for A-K based rifles.","$UNT$A green painted plastic buttstock for A-K based rifles.",
"str_iz_cfgvehicles_ak_plasticbttstck_black0","$UNT$A black painted plastic buttstock for A-K based rifles.","$UNT$A black painted plastic buttstock for A-K based rifles.","$UNT$A black painted plastic buttstock for A-K based rifles.","$UNT$A black painted plastic buttstock for A-K based rifles.","$UNT$A black painted plastic buttstock for A-K based rifles.","$UNT$A black painted plastic buttstock for A-K based rifles.","$UNT$A black painted plastic buttstock for A-K based rifles.","$UNT$A black painted plastic buttstock for A-K based rifles.","$UNT$A black painted plastic buttstock for A-K based rifles.","$UNT$A black painted plastic buttstock for A-K based rifles.","$UNT$A black painted plastic buttstock for A-K based rifles.","$UNT$A black painted plastic buttstock for A-K based rifles.","$UNT$A black painted plastic buttstock for A-K based rifles.","$UNT$A black painted plastic buttstock for A-K based rifles.",

"str_iz_cfgvehicles_ak_foldingbttstck_green0","$UNT$A green painted folding buttstock for A-K based rifles painted black.","$UNT$A green painted folding buttstock for A-K based rifles painted black.","$UNT$A green painted folding buttstock for A-K based rifles painted black.","$UNT$A green painted folding buttstock for A-K based rifles painted black.","$UNT$A green painted folding buttstock for A-K based rifles painted black.","$UNT$A green painted folding buttstock for A-K based rifles painted black.","$UNT$A green painted folding buttstock for A-K based rifles painted black.","$UNT$A green painted folding buttstock for A-K based rifles painted black.","$UNT$A green painted folding buttstock for A-K based rifles painted black.","$UNT$A green painted folding buttstock for A-K based rifles painted black.","$UNT$A green painted folding buttstock for A-K based rifles painted black.","$UNT$A green painted folding buttstock for A-K based rifles painted black.","$UNT$A green painted folding buttstock for A-K based rifles painted black.","$UNT$A green painted folding buttstock for A-K based rifles painted black.",
"str_iz_cfgvehicles_ak_foldingbttstck_black0","$UNT$A black painted folding buttstock for A-K based rifles painted black.","$UNT$A black painted folding buttstock for A-K based rifles painted black.","$UNT$A black painted folding buttstock for A-K based rifles painted black.","$UNT$A black painted folding buttstock for A-K based rifles painted black.","$UNT$A black painted folding buttstock for A-K based rifles painted black.","$UNT$A black painted folding buttstock for A-K based rifles painted black.","$UNT$A black painted folding buttstock for A-K based rifles painted black.","$UNT$A black painted folding buttstock for A-K based rifles painted black.","$UNT$A black painted folding buttstock for A-K based rifles painted black.","$UNT$A black painted folding buttstock for A-K based rifles painted black.","$UNT$A black painted folding buttstock for A-K based rifles painted black.","$UNT$A black painted folding buttstock for A-K based rifles painted black.","$UNT$A black painted folding buttstock for A-K based rifles painted black.","$UNT$A black painted folding buttstock for A-K based rifles painted black.",

"str_iz_cfgmagazines_mag_shockcartridge1","$UNT$Cartridge for shock pistol.","$UNT$Cartridge for shock pistol.","$UNT$Cartridge for shock pistol.","$UNT$Cartridge for shock pistol.","$UNT$Cartridge for shock pistol.","$UNT$Cartridge for shock pistol.","$UNT$Cartridge for shock pistol.","$UNT$Cartridge for shock pistol.","$UNT$Cartridge for shock pistol.","$UNT$Cartridge for shock pistol.","$UNT$Cartridge for shock pistol.","$UNT$Cartridge for shock pistol.","$UNT$Cartridge for shock pistol.","$UNT$Cartridge for shock pistol.",
"str_iz_cfgmagazines_mag_shockcartridge0","$UNT$Shock Pistol Cartridge","$UNT$Shock Pistol Cartridge","$UNT$Shock Pistol Cartridge","$UNT$Shock Pistol Cartridge","$UNT$Shock Pistol Cartridge","$UNT$Shock Pistol Cartridge","$UNT$Shock Pistol Cartridge","$UNT$Shock Pistol Cartridge","$UNT$Shock Pistol Cartridge","$UNT$Shock Pistol Cartridge","$UNT$Shock Pistol Cartridge","$UNT$Shock Pistol Cartridge","$UNT$Shock Pistol Cartridge","$UNT$Shock Pistol Cartridge",

"str_iz_cfgmagazines_mag_scout_5rnd1","$UNT$5 round magazine for Scout rifle.","$UNT$5 round magazine for Scout rifle.","$UNT$5 round magazine for Scout rifle.","$UNT$5 round magazine for Scout rifle.","$UNT$5 round magazine for Scout rifle.","$UNT$5 round magazine for Scout rifle.","$UNT$5 round magazine for Scout rifle.","$UNT$5 round magazine for Scout rifle.","$UNT$5 round magazine for Scout rifle.","$UNT$5 round magazine for Scout rifle.","$UNT$5 round magazine for Scout rifle.","$UNT$5 round magazine for Scout rifle.","$UNT$5 round magazine for Scout rifle.","$UNT$5 round magazine for Scout rifle.",
"str_iz_cfgmagazines_mag_scout_5rnd0","$UNT$Scout 5Rnd mag","$UNT$Scout 5Rnd mag","$UNT$Scout 5Rnd mag","$UNT$Scout 5Rnd mag","$UNT$Scout 5Rnd mag","$UNT$Scout 5Rnd mag","$UNT$Scout 5Rnd mag","$UNT$Scout 5Rnd mag","$UNT$Scout 5Rnd mag","$UNT$Scout 5Rnd mag","$UNT$Scout 5Rnd mag","$UNT$Scout 5Rnd mag","$UNT$Scout 5Rnd mag","$UNT$Scout 5Rnd mag",

"str_iz_cfgmagazines_mag_ruger1022_30rnd1","$UNT$Conventional magazine with capacity of 30 .22 rounds.","$UNT$Conventional magazine with capacity of 30 .22 rounds.","$UNT$Conventional magazine with capacity of 30 .22 rounds.","$UNT$Conventional magazine with capacity of 30 .22 rounds.","$UNT$Conventional magazine with capacity of 30 .22 rounds.","$UNT$Conventional magazine with capacity of 30 .22 rounds.","$UNT$Conventional magazine with capacity of 30 .22 rounds.","$UNT$Conventional magazine with capacity of 30 .22 rounds.","$UNT$Conventional magazine with capacity of 30 .22 rounds.","$UNT$Conventional magazine with capacity of 30 .22 rounds.","$UNT$Conventional magazine with capacity of 30 .22 rounds.","$UNT$Conventional magazine with capacity of 30 .22 rounds.","$UNT$Conventional magazine with capacity of 30 .22 rounds.","$UNT$Conventional magazine with capacity of 30 .22 rounds.",
"str_iz_cfgmagazines_mag_ruger1022_30rnd0","$UNT$30Rnd .22 Mag","$UNT$30Rnd .22 Mag","$UNT$30Rnd .22 Mag","$UNT$30Rnd .22 Mag","$UNT$30Rnd .22 Mag","$UNT$30Rnd .22 Mag","$UNT$30Rnd .22 Mag","$UNT$30Rnd .22 Mag","$UNT$30Rnd .22 Mag","$UNT$30Rnd .22 Mag","$UNT$30Rnd .22 Mag","$UNT$30Rnd .22 Mag","$UNT$30Rnd .22 Mag","$UNT$30Rnd .22 Mag",

"str_iz_cfgmagazines_mag_ruger1022_10rnd1","$UNT$Rotary magazine with capacity of 10 .22 rounds.","$UNT$Rotary magazine with capacity of 10 .22 rounds.","$UNT$Rotary magazine with capacity of 10 .22 rounds.","$UNT$Rotary magazine with capacity of 10 .22 rounds.","$UNT$Rotary magazine with capacity of 10 .22 rounds.","$UNT$Rotary magazine with capacity of 10 .22 rounds.","$UNT$Rotary magazine with capacity of 10 .22 rounds.","$UNT$Rotary magazine with capacity of 10 .22 rounds.","$UNT$Rotary magazine with capacity of 10 .22 rounds.","$UNT$Rotary magazine with capacity of 10 .22 rounds.","$UNT$Rotary magazine with capacity of 10 .22 rounds.","$UNT$Rotary magazine with capacity of 10 .22 rounds.","$UNT$Rotary magazine with capacity of 10 .22 rounds.","$UNT$Rotary magazine with capacity of 10 .22 rounds.",
"str_iz_cfgmagazines_mag_ruger1022_10rnd0","$UNT$10Rnd .22 Mag","$UNT$10Rnd .22 Mag","$UNT$10Rnd .22 Mag","$UNT$10Rnd .22 Mag","$UNT$10Rnd .22 Mag","$UNT$10Rnd .22 Mag","$UNT$10Rnd .22 Mag","$UNT$10Rnd .22 Mag","$UNT$10Rnd .22 Mag","$UNT$10Rnd .22 Mag","$UNT$10Rnd .22 Mag","$UNT$10Rnd .22 Mag","$UNT$10Rnd .22 Mag","$UNT$10Rnd .22 Mag",

"str_iz_cfgmagazines_mag_pm73_25rnd1","$UNT$Magazine for PM73 RAK submachinegun. Holds 25 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 25 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 25 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 25 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 25 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 25 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 25 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 25 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 25 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 25 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 25 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 25 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 25 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 25 rounds.",
"str_iz_cfgmagazines_mag_pm73_25rnd0","$UNT$25rnd PM73 mag","$UNT$25rnd PM73 mag","$UNT$25rnd PM73 mag","$UNT$25rnd PM73 mag","$UNT$25rnd PM73 mag","$UNT$25rnd PM73 mag","$UNT$25rnd PM73 mag","$UNT$25rnd PM73 mag","$UNT$25rnd PM73 mag","$UNT$25rnd PM73 mag","$UNT$25rnd PM73 mag","$UNT$25rnd PM73 mag","$UNT$25rnd PM73 mag","$UNT$25rnd PM73 mag",

"str_iz_cfgmagazines_mag_pm73_15rnd1","$UNT$Magazine for PM73 RAK submachinegun. Holds 15 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 15 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 15 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 15 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 15 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 15 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 15 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 15 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 15 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 15 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 15 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 15 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 15 rounds.","$UNT$Magazine for PM73 RAK submachinegun. Holds 15 rounds.",
"str_iz_cfgmagazines_mag_pm73_15rnd0","$UNT$15rnd PM73 mag","$UNT$15rnd PM73 mag","$UNT$15rnd PM73 mag","$UNT$15rnd PM73 mag","$UNT$15rnd PM73 mag","$UNT$15rnd PM73 mag","$UNT$15rnd PM73 mag","$UNT$15rnd PM73 mag","$UNT$15rnd PM73 mag","$UNT$15rnd PM73 mag","$UNT$15rnd PM73 mag","$UNT$15rnd PM73 mag","$UNT$15rnd PM73 mag","$UNT$15rnd PM73 mag",

"str_iz_cfgmagazines_mag_p1_8rnd1","$UNT$A magazine for eight 9mm rounds.","$UNT$A magazine for eight 9mm rounds.","$UNT$A magazine for eight 9mm rounds.","$UNT$A magazine for eight 9mm rounds.","$UNT$A magazine for eight 9mm rounds.","$UNT$A magazine for eight 9mm rounds.","$UNT$A magazine for eight 9mm rounds.","$UNT$A magazine for eight 9mm rounds.","$UNT$A magazine for eight 9mm rounds.","$UNT$A magazine for eight 9mm rounds.","$UNT$A magazine for eight 9mm rounds.","$UNT$A magazine for eight 9mm rounds.","$UNT$A magazine for eight 9mm rounds.","$UNT$A magazine for eight 9mm rounds.",
"str_iz_cfgmagazines_mag_p1_8rnd0","$UNT$8Rnd P1 Magazine","$UNT$8Rnd P1 Magazine","$UNT$8Rnd P1 Magazine","$UNT$8Rnd P1 Magazine","$UNT$8Rnd P1 Magazine","$UNT$8Rnd P1 Magazine","$UNT$8Rnd P1 Magazine","$UNT$8Rnd P1 Magazine","$UNT$8Rnd P1 Magazine","$UNT$8Rnd P1 Magazine","$UNT$8Rnd P1 Magazine","$UNT$8Rnd P1 Magazine","$UNT$8Rnd P1 Magazine","$UNT$8Rnd P1 Magazine",

"str_iz_cfgmagazines_mag_makarovpb_8rnd1","$UNT$A magazine for the Makarov PB6P9 pistol which holds 8 rounds of .380 Auto.","$UNT$A magazine for the Makarov PB6P9 pistol which holds 8 rounds of .380 Auto.","$UNT$A magazine for the Makarov PB6P9 pistol which holds 8 rounds of .380 Auto.","$UNT$A magazine for the Makarov PB6P9 pistol which holds 8 rounds of .380 Auto.","$UNT$A magazine for the Makarov PB6P9 pistol which holds 8 rounds of .380 Auto.","$UNT$A magazine for the Makarov PB6P9 pistol which holds 8 rounds of .380 Auto.","$UNT$A magazine for the Makarov PB6P9 pistol which holds 8 rounds of .380 Auto.","$UNT$A magazine for the Makarov PB6P9 pistol which holds 8 rounds of .380 Auto.","$UNT$A magazine for the Makarov PB6P9 pistol which holds 8 rounds of .380 Auto.","$UNT$A magazine for the Makarov PB6P9 pistol which holds 8 rounds of .380 Auto.","$UNT$A magazine for the Makarov PB6P9 pistol which holds 8 rounds of .380 Auto.","$UNT$A magazine for the Makarov PB6P9 pistol which holds 8 rounds of .380 Auto.","$UNT$A magazine for the Makarov PB6P9 pistol which holds 8 rounds of .380 Auto.","$UNT$A magazine for the Makarov PB6P9 pistol which holds 8 rounds of .380 Auto.",
"str_iz_cfgmagazines_mag_makarovpb_8rnd0","$UNT$Makarov PB6P9 magazine","$UNT$Makarov PB6P9 magazine","$UNT$Makarov PB6P9 magazine","$UNT$Makarov PB6P9 magazine","$UNT$Makarov PB6P9 magazine","$UNT$Makarov PB6P9 magazine","$UNT$Makarov PB6P9 magazine","$UNT$Makarov PB6P9 magazine","$UNT$Makarov PB6P9 magazine","$UNT$Makarov PB6P9 magazine","$UNT$Makarov PB6P9 magazine","$UNT$Makarov PB6P9 magazine","$UNT$Makarov PB6P9 magazine","$UNT$Makarov PB6P9 magazine",

"str_iz_cfgmagazines_mag_m249_box200rnd1","$UNT$Magazine for M249 machine gun with 200 rounds in it.","$UNT$Magazine for M249 machine gun with 200 rounds in it.","$UNT$Magazine for M249 machine gun with 200 rounds in it.","$UNT$Magazine for M249 machine gun with 200 rounds in it.","$UNT$Magazine for M249 machine gun with 200 rounds in it.","$UNT$Magazine for M249 machine gun with 200 rounds in it.","$UNT$Magazine for M249 machine gun with 200 rounds in it.","$UNT$Magazine for M249 machine gun with 200 rounds in it.","$UNT$Magazine for M249 machine gun with 200 rounds in it.","$UNT$Magazine for M249 machine gun with 200 rounds in it.","$UNT$Magazine for M249 machine gun with 200 rounds in it.","$UNT$Magazine for M249 machine gun with 200 rounds in it.","$UNT$Magazine for M249 machine gun with 200 rounds in it.","$UNT$Magazine for M249 machine gun with 200 rounds in it.",
"str_iz_cfgmagazines_mag_m249_box200rnd0","$UNT$200Rnd M249 box","$UNT$200Rnd M249 box","$UNT$200Rnd M249 box","$UNT$200Rnd M249 box","$UNT$200Rnd M249 box","$UNT$200Rnd M249 box","$UNT$200Rnd M249 box","$UNT$200Rnd M249 box","$UNT$200Rnd M249 box","$UNT$200Rnd M249 box","$UNT$200Rnd M249 box","$UNT$200Rnd M249 box","$UNT$200Rnd M249 box","$UNT$200Rnd M249 box",

"str_iz_cfgmagazines_mag_groza_20rnd1","$UNT$Magazine for OTs-14-4A Groza-4 compact bullpup assault rifle. Holds 20 subsonic SP-6 rounds.","$UNT$Magazine for OTs-14-4A Groza-4 compact bullpup assault rifle. Holds 20 subsonic SP-6 rounds.","$UNT$Magazine for OTs-14-4A Groza-4 compact bullpup assault rifle. Holds 20 subsonic SP-6 rounds.","$UNT$Magazine for OTs-14-4A Groza-4 compact bullpup assault rifle. Holds 20 subsonic SP-6 rounds.","$UNT$Magazine for OTs-14-4A Groza-4 compact bullpup assault rifle. Holds 20 subsonic SP-6 rounds.","$UNT$Magazine for OTs-14-4A Groza-4 compact bullpup assault rifle. Holds 20 subsonic SP-6 rounds.","$UNT$Magazine for OTs-14-4A Groza-4 compact bullpup assault rifle. Holds 20 subsonic SP-6 rounds.","$UNT$Magazine for OTs-14-4A Groza-4 compact bullpup assault rifle. Holds 20 subsonic SP-6 rounds.","$UNT$Magazine for OTs-14-4A Groza-4 compact bullpup assault rifle. Holds 20 subsonic SP-6 rounds.","$UNT$Magazine for OTs-14-4A Groza-4 compact bullpup assault rifle. Holds 20 subsonic SP-6 rounds.","$UNT$Magazine for OTs-14-4A Groza-4 compact bullpup assault rifle. Holds 20 subsonic SP-6 rounds.","$UNT$Magazine for OTs-14-4A Groza-4 compact bullpup assault rifle. Holds 20 subsonic SP-6 rounds.","$UNT$Magazine for OTs-14-4A Groza-4 compact bullpup assault rifle. Holds 20 subsonic SP-6 rounds.","$UNT$Magazine for OTs-14-4A Groza-4 compact bullpup assault rifle. Holds 20 subsonic SP-6 rounds.",
"str_iz_cfgmagazines_mag_groza_20rnd0","$UNT$20Rnd Groza-4 Mag","$UNT$20Rnd Groza-4 Mag","$UNT$20Rnd Groza-4 Mag","$UNT$20Rnd Groza-4 Mag","$UNT$20Rnd Groza-4 Mag","$UNT$20Rnd Groza-4 Mag","$UNT$20Rnd Groza-4 Mag","$UNT$20Rnd Groza-4 Mag","$UNT$20Rnd Groza-4 Mag","$UNT$20Rnd Groza-4 Mag","$UNT$20Rnd Groza-4 Mag","$UNT$20Rnd Groza-4 Mag","$UNT$20Rnd Groza-4 Mag","$UNT$20Rnd Groza-4 Mag",

"str_iz_cfgmagazines_mag_de_9rnd1","$UNT$A magazine for 9 .357 magnum rounds.","$UNT$A magazine for 9 .357 magnum rounds.","$UNT$A magazine for 9 .357 magnum rounds.","$UNT$A magazine for 9 .357 magnum rounds.","$UNT$A magazine for 9 .357 magnum rounds.","$UNT$A magazine for 9 .357 magnum rounds.","$UNT$A magazine for 9 .357 magnum rounds.","$UNT$A magazine for 9 .357 magnum rounds.","$UNT$A magazine for 9 .357 magnum rounds.","$UNT$A magazine for 9 .357 magnum rounds.","$UNT$A magazine for 9 .357 magnum rounds.","$UNT$A magazine for 9 .357 magnum rounds.","$UNT$A magazine for 9 .357 magnum rounds.","$UNT$A magazine for 9 .357 magnum rounds.",
"str_iz_cfgmagazines_mag_de_9rnd0","$UNT$9Rnd DE Magazine","$UNT$9Rnd DE Magazine","$UNT$9Rnd DE Magazine","$UNT$9Rnd DE Magazine","$UNT$9Rnd DE Magazine","$UNT$9Rnd DE Magazine","$UNT$9Rnd DE Magazine","$UNT$9Rnd DE Magazine","$UNT$9Rnd DE Magazine","$UNT$9Rnd DE Magazine","$UNT$9Rnd DE Magazine","$UNT$9Rnd DE Magazine","$UNT$9Rnd DE Magazine","$UNT$9Rnd DE Magazine",

"str_iz_cfgmagazines_mag_dartgun_co21","$UNT$CO2 cartrige for Dart Gun.","$UNT$CO2 cartrige for Dart Gun.","$UNT$CO2 cartrige for Dart Gun.","$UNT$CO2 cartrige for Dart Gun.","$UNT$CO2 cartrige for Dart Gun.","$UNT$CO2 cartrige for Dart Gun.","$UNT$CO2 cartrige for Dart Gun.","$UNT$CO2 cartrige for Dart Gun.","$UNT$CO2 cartrige for Dart Gun.","$UNT$CO2 cartrige for Dart Gun.","$UNT$CO2 cartrige for Dart Gun.","$UNT$CO2 cartrige for Dart Gun.","$UNT$CO2 cartrige for Dart Gun.","$UNT$CO2 cartrige for Dart Gun.",
"str_iz_cfgmagazines_mag_dartgun_co20","$UNT$CO2","$UNT$CO2","$UNT$CO2","$UNT$CO2","$UNT$CO2","$UNT$CO2","$UNT$CO2","$UNT$CO2","$UNT$CO2","$UNT$CO2","$UNT$CO2","$UNT$CO2","$UNT$CO2","$UNT$CO2",

"str_iz_cfgmagazines_mag_clip9x19_10rnd1","$UNT$A clip for 10 rounds 9mm.","$UNT$A clip for 10 rounds 9mm.","$UNT$A clip for 10 rounds 9mm.","$UNT$A clip for 10 rounds 9mm.","$UNT$A clip for 10 rounds 9mm.","$UNT$A clip for 10 rounds 9mm.","$UNT$A clip for 10 rounds 9mm.","$UNT$A clip for 10 rounds 9mm.","$UNT$A clip for 10 rounds 9mm.","$UNT$A clip for 10 rounds 9mm.","$UNT$A clip for 10 rounds 9mm.","$UNT$A clip for 10 rounds 9mm.","$UNT$A clip for 10 rounds 9mm.","$UNT$A clip for 10 rounds 9mm.",
"str_iz_cfgmagazines_mag_clip9x19_10rnd0","$UNT$10 Round Clip","$UNT$10 Round Clip","$UNT$10 Round Clip","$UNT$10 Round Clip","$UNT$10 Round Clip","$UNT$10 Round Clip","$UNT$10 Round Clip","$UNT$10 Round Clip","$UNT$10 Round Clip","$UNT$10 Round Clip","$UNT$10 Round Clip","$UNT$10 Round Clip","$UNT$10 Round Clip","$UNT$10 Round Clip",

"str_iz_cfgmagazines_mag_bolts_quiver1","$UNT$A container for crossbow bolts.","$UNT$A container for crossbow bolts.","$UNT$A container for crossbow bolts.","$UNT$A container for crossbow bolts.","$UNT$A container for crossbow bolts.","$UNT$A container for crossbow bolts.","$UNT$A container for crossbow bolts.","$UNT$A container for crossbow bolts.","$UNT$A container for crossbow bolts.","$UNT$A container for crossbow bolts.","$UNT$A container for crossbow bolts.","$UNT$A container for crossbow bolts.","$UNT$A container for crossbow bolts.","$UNT$A container for crossbow bolts.",
