"Language",										"original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"str_cfgweapons_ump450",						"UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45","UMP-45",
"str_cfgweapons_ump451",						"Selective-fire submachine gun fed from a detachable magazine. High caliber makes up for slower fire rate. Uses .45 ACP rounds.","Selective-fire submachine gun fed from a detachable magazine. High caliber makes up for slower fire rate. Uses .45 ACP rounds.","Samopal s možností volby režimu střelby. Munice dodávána odnímatelným zásobníkem. Velká ráže kompenzuje nižší kadenci. Používá munici .45 ACP","Maschinenpistole mit selektivem Feuer und abnehmbarem Magazin. Das große Kaliber kompensiert die langsame Feuergeschwindigkeit. Nutzt .45 ACP-Munition.","Пистолет-пулемет с переводчиком режимов огня и съемным магазином. Высокий калибр компенсирует более низкий темп стрельбы. Использует патроны калибра .45 ACP.","Pistolet maszynowy z przełącznikiem ognia i magazynkiem zewnętrznym. Duży kaliber rekompensuje małą szybkostrzelność. Strzela amunicją .45 ACP.","Selective-fire submachine gun fed from a detachable magazine. High caliber makes up for slower fire rate. Uses .45 ACP rounds.","Mitra con selettore di fuoco e alimentazione mediante un caricatore estraibile. L’elevato calibro compensa il lento tasso di fuoco. Utilizza munizioni calibro .45 ACP.","Metralleta de fuego selectivo, alimentada por un cargador desmontable. Su alto calibre provoca que la cadencia de tiro sea más lenta. Usa proyectiles de .45 ACP.","Un pistolet mitrailleur avec différents modes de tir et chargeur amovible. La puissance du calibre .45 ACP compense la faible cadence de tir.","可選射擊模式的機關槍，以可拆卸的彈匣供彈。高口徑火力彌補了開火速度較慢這一缺點。使用 .45 ACP 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能の短機関銃。連射性能は低い分、大口径。.45 ACP 弾薬を使う。","Selective-fire submachine gun fed from a detachable magazine. High caliber makes up for slower fire rate. Uses .45 ACP rounds.","从可拆弹匣送弹的选射冲锋枪。大口径弥补了射速慢的不足。使用 .45 ACP 子弹。",

"str_cfgweapons_svd0",							"SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD","SVD",
"str_cfgweapons_svd1",							"Semi-automatic marksmen rifle fed from a detachable magazine. Compatible with AK scopes. Uses 7.62x54mmR rounds.","Semi-automatic marksmen rifle fed from a detachable magazine. Compatible with AK scopes. Uses 7.62x54mmR rounds.","Poloautomatická ostrostřelecká puška. Munice dodávána odnímatelným zásobníkem. Kompatibilní s optikami na AK. Používá munici 7,62x54 mmR.","Halbautomatisches Scharfschützengewehr mit abnehmbarem Magazin. Kompatibel mit AK-Zielvisieren. Nutzt 7,62x54mmR-Munition.","Полуавтоматическая снайперская винтовка со съемным магазином. Совместима с прицелами системы КА. Использует патроны калибра 7,62x54 мм R.","Półautomatyczny karabin precyzyjny z magazynkiem zewnętrznym. Kompatybilny z lunetami celowniczymi AK. Strzela amunicją 7,62x54 mm.","Semi-automatic marksmen rifle fed from a detachable magazine. Compatible with AK scopes. Uses 7.62x54mmR rounds.","Fucile da tiratore scelto semi-automatico con alimentazione mediante un caricatore estraibile. Compatibile con i mirini AK. Utilizza munizioni calibro 7.62x54 mm R.","Fusil de tirador semiautomático, alimentado por un cargador desmontable. Compatible con miras AK. Usa proyectiles de 7,62x54 mmR.","Un fusil de précision semi-automatique accueillant un chargeur amovible de calibre 7,62x54 mm R. Compatible avec les lunettes pour AK.","半自動式特等射手步槍，以可拆卸的彈匣供彈。兼容 AK 瞄鏡。使用 7.62x54mmR 子彈。","取り外し可能なマガジンから装填する、セミオート式のマークスマンライフル。KA スコープと互換性がある。7.62x54mmR 弾薬を使う。","Semi-automatic marksmen rifle fed from a detachable magazine. Compatible with AK scopes. Uses 7.62x54mmR rounds.","从可拆卸弹匣送弹的半自动精确射击步枪。与 AK 瞄准镜兼容。使用 7.62x54mmR 子弹。",

"str_cfgweapons_sks0",							"SKS-45","SKS-45","SKS-45","SKS-45","SKS-45","SKS-45","SKS-45","SKS-45","SKS-45","SKS-45","SKS-45","SKS-45","SKS-45","SKS-45",
"str_cfgweapons_sks1",							"A ten-shot semi-automatic rifle, fed from an internal magazine. Older model, but still reliable. Uses 7.62x39mm rounds.","A ten-shot semi-automatic rifle, fed from an internal magazine. Older model, but still reliable. Uses 7.62x39mm rounds.","Poloautomatická puška na deset ran, munice dodávána vnitřním zásobníkem. Starší, ale stále spolehlivý model. Používá munici 7,62x39 mm.","Ein halbautomatisches Gewehr mit zehn Schuss, das von einem internen Magazin versorgt wird. Ein älteres Modell, aber trotzdem nützlich. Nutzt 7.62x39mm-Munition.","Десятизарядная полуавтоматическая винтовка с внутренним магазином. Старая, но все равно надежная модель. Использует патроны калибра 7,62x39 мм.","Dziesięciostrzałowy, półautomatyczny karabin z magazynkiem wewnętrznym. Stary, ale wciąż niezawodny. Strzela amunicją 7,62x39 mm.","A ten-shot semi-automatic rifle, fed from an internal magazine. Older model, but still reliable. Uses 7.62x39mm rounds.","Fucile semiautomatico da dieci colpi con alimentazione mediante caricatore interno. È un modello più vecchio, ma resta comunque affidabile. Utilizza munizioni calibro 7.62x39 mm.","Un fusil semiautomático de diez tiros, que se alimenta de un cargador interno. Es un modelo antiguo, pero sigue siendo de confianza. Usa proyectiles de 7,62x39 mm.","Un fusil semi-automatique à dix coups de 7,62x39 mm avec chargeur interne. Un modèle ancien, mais fiable.","半自動步槍，可容納十發子彈，以內建彈匣供彈。是較老舊的版本，但還是很可靠耐用。使用 7.62x39mm 子彈。","内部マガジンから装填する 10 発セミオート式ライフル。古めのモデルだが、依然信頼性が高い。7.62x39mm 弾薬を使う。","A ten-shot semi-automatic rifle, fed from an internal magazine. Older model, but still reliable. Uses 7.62x39mm rounds.","10 发子弹半自动步枪，从内置弹匣送弹。较老的枪型，但可靠性还不错。使用 7.62x39mm 子弹。",

"str_cfgweapons_sawedoffizh180",				"Sawed-off IZH-18","Sawed-off IZH-18","Upilovaná IZH-18","Abgesägtes IZH-18","Обрез IZH-18","IZH-18 ze skróconą lufą","Sawed-off IZH-18","IZH-18 a canne mozze","IZH-18 recortada","IZH-18 à canon scié","短管式 IZH-18","ソードオフ IZH-18","Sawed-off IZH-18","短管 IZH-18",
"str_cfgweapons_sawedoffizh181",				"Sawed-off single shot break action hunting rifle, designed with simplicity, built to last. Uses 7.62x39mm rounds.","Sawed-off single shot break action hunting rifle, designed with simplicity, built to last. Uses 7.62x39mm rounds.","Upilovaná lámací lovecká puška na jednu ránu. Jednoduchá konstrukce, která vydrží věčnost. Používá munici 7,62x39 mm.","Abgesägtes Einzelschuss-Jagdgewehr mit Kipplauf. Langlebig und leicht zu bedienen. Nutzt 7,62x39mm-Munition.","Обрез однозарядной охотничьей винтовки с переломным затвором. Простая конструкция, сделанная на века. Использует патроны калибра 7,62x39 мм.","Jednostrzałowy, łamany karabin myśliwski ze skróconą lufą. Prostota, która przetrwa wieki. Strzela amunicją 7,62x39 mm.","Sawed-off single shot break action hunting rifle, designed with simplicity, built to last. Uses 7.62x39mm rounds.","Fucile da caccia a canne mozze, a canna basculante e colpo singolo, dal design semplice e dalla costruzione duratura. Utilizza munizioni calibro 7.62x39 mm.","Escopeta de caza de cañón basculante recortado, de un solo tiro. Diseñada para ser sencilla, pero fabricada para durar. Usa proyectiles de 7,62x39 mm.","Un fusil à canon scié à tir unique et à chargement entièrement manuel, de calibre 7,62x39 mm. De conception simple, il est très résistant.","短管單發中折式狩獵步槍，極簡設計，但能長久流傳。使用 7.62x39mm 子彈。","ソードオフ単発中折式狩猟用ライフル。シンプルなデザインで長持ちするように作られている。7.62x39mm 弾薬を使う。","Sawed-off single shot break action hunting rifle, designed with simplicity, built to last. Uses 7.62x39mm rounds.","短管单发折开式猎枪，设计简单，经久耐用。使用 7.62x39mm 子弹。",

"str_cfgweapons_sawedoffmosin91300",			"Sawed-off Mosin-Nagant","Sawed-off Mosin-Nagant","Upilovaný Mosin-Nagant","Abgesägtes Mosin-Nagant","Обрез Мосина","Mosin-Nagant ze skróconą lufą","Sawed-off Mosin-Nagant","Mosin-Nagant a canne mozze","Mosin-Nagant recortado","Mosin-Nagant à canon scié","短管式 Mosin-Nagant","ソードオフ・モシン 91/30","Sawed-off Mosin-Nagant","短管 Mosin-Nagant",
"str_cfgweapons_sawedoffmosin91301",			"Sawed-off five shot bolt-action rifle, fed from internal magazine. Still usable today due to its sturdiness. Uses 7.62x54mmR rounds.","Sawed-off five shot bolt-action rifle, fed from internal magazine. Still usable today due to its sturdiness. Uses 7.62x54mmR rounds.","Upilovaná opakovací puška na pět ran. Munice dodávána vnitřním zásobníkem. Díky své odolnosti je použitelná i dnes a používá munici 7,62x54 mmR.","Abgesägtes 5-Schuss-Repetiergewehr mit internem Magazin. Aufgrund seiner Strapazierfähigkeit auch heute noch nutzbar. Nutzt 7,62x54mmR-Munition.","Обрез пятизарядной винтовки со скользящим затвором и внутренним магазином. До сих пор используется в наши дни благодаря своей надежности. Использует патроны калибра 7,62x54 мм R.","Pięciostrzałowy karabin samopowtarzalny z magazynkiem wewnętrznym i skróconą lufą. Używany ze względu na swoją solidność. Strzela amunicją 7,62x54 mm.","Sawed-off five shot bolt-action rifle, fed from internal magazine. Still usable today due to its sturdiness. Uses 7.62x54mmR rounds.","Fucile a otturatore scorrevole da cinque colpi con caricatore interno. Molto robusto, nonostante sia vecchio. Utilizza munizioni calibro 7.62x54 mm R.","Fusil de cerrojo de cinco tiros recortado. Se alimenta de un cargador interno. Es tan férreo que sigue funcionando a día de hoy. Usa proyectiles de 7,62x54 mmR.","Un fusil à verrou à canon scié de calibre 7,62x54 mm R avec chargeur fixe à cinq coups. Sa solidité à toute épreuve le rend extrêmement populaire.","短管式栓動步槍，可容納五發子彈，以內建彈匣供彈。非常可靠，到現在都還能用。使用 7.62x54mmR 子彈。","内部マガジンから装填するソードオフ 5 発ボルトアクション式ライフル。頑丈なため今でも使用できる。7.62x54mmR 弾薬を使う。","Sawed-off five shot bolt-action rifle, fed from internal magazine. Still usable today due to its sturdiness. Uses 7.62x54mmR rounds.","从内部弹匣送弹的短管五发手动栓式步枪。由于其非常坚固，至今仍可使用。使用 7.62x54mmR 子弹。",

"str_cfgweapons_mp5k0",							"MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K","MP5-K",
"str_cfgweapons_mp5k1",							"Selective-fire submachine gun, fed from a detachable magazine. Very high rate of fire. Uses 9x19mm rounds.","Selective-fire submachine gun, fed from a detachable magazine. Very high rate of fire. Uses 9x19mm rounds.","Samopal s možností volby režimu střelby. Munice dodávána odnímatelným zásobníkem, velmi vysoká kadence. Používá munici 9x19 mm.","Maschinenpistole mit selektivem Feuer und abnehmbarem Magazin. Sehr hohe Feuerrate. Nutzt 9x19mm-Munition.","Пистолет-пулемет с переводчиком режимов огня и съемным магазином. Очень высокая скорость стрельбы. Использует патроны калибра 9x19 мм.","Pistolet maszynowy z przełącznikiem ognia i uniwersalnym magazynkiem zewnętrznym. Bardzo szybkostrzelny. Strzela amunicją 9x19 mm.","Selective-fire submachine gun, fed from a detachable magazine. Very high rate of fire. Uses 9x19mm rounds.","Mitra con selettore di fuoco e alimentazione a caricatore estraibile. Tasso di fuoco molto elevato. Utilizza munizioni calibro 9x19 mm.","Metralleta de fuego selectivo, alimentada por un cargador desmontable. Cadencia de tiro muy elevada. Usa proyectiles de 9x19 mm.","Un pistolet mitrailleur à cadence élevée, avec différents modes de tir accueillant un chargeur amovible de calibre 9x19 mm.","可選射擊模式的機關槍，以可拆卸的彈匣供彈。射速極快。使用 9x19mm 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能の短機関銃。連射速度がとても高い、大口径。9x19mm 弾薬を使う。","Selective-fire submachine gun, fed from a detachable magazine. Very high rate of fire. Uses 9x19mm rounds.","从可拆卸弹匣送弹的选射冲锋枪。射速非常快。使用 9x19mm 子弹。",

"str_cfgweapons_mosin91300",					"Mosin 91/30","Mosin 91/30","Mosin 91/30","Mosin 91/30","Винтовка Мосина","Mosin 91/30","Mosin 91/30","Mosin 91/30","Mosin 91/30","Mosin 91/30","Mosin 91/30","モシン 91/30","Mosin 91/30","Mosin 91/30",
"str_cfgweapons_mosin91301",					"Five shot bolt-action rifle, fed from internal magazine. Still usable today due to its sturdiness. Uses 7.62x54mmR rounds.","Five shot bolt-action rifle, fed from internal magazine. Still usable today due to its sturdiness. Uses 7.62x54mmR rounds.","Opakovací puška na pět ran. Munice dodávána vnitřním zásobníkem. Díky své odolnosti je použitelná i dnes a používá munici 7,62x54 mmR.","5-Schuss-Repetiergewehr mit internem Magazin. Aufgrund seiner Strapazierfähigkeit auch heute noch nutzbar. Nutzt 7,62x54mmR-Munition.","Пятизарядная винтовка со скользящим затвором и внутренним магазином. До сих пор используется в наши дни благодаря своей надежности. Использует патроны калибра 7,62x54 мм R.","Pięciostrzałowy, samopowtarzalny karabin z magazynkiem wewnętrznym. Używany ze względu na swoją solidność. Strzela amunicją 7,62x54 mm.","Five shot bolt-action rifle, fed from internal magazine. Still usable today due to its sturdiness. Uses 7.62x54mmR rounds.","Fucile a otturatore girevole-scorrevole da cinque colpi con alimentazione mediante caricatore interno. È possibile usarlo ancora oggi grazie alla sua robustezza. Utilizza munizioni calibro 7.62x54 mm R.","Fusil de cerrojo de cinco tiros. Se alimenta de un cargador interno. Es tan férreo que sigue funcionando a día de hoy. Usa proyectiles de 7,62x54 mmR.","Un fusil à verrou de calibre 7,62x54 mm R avec chargeur fixe à cinq coups. Encore fiable de nos jours grâce à une conception à toute épreuve.","栓動步槍，可容納五發子彈，以內建彈匣供彈。非常可靠，到現在都還能用。使用 7.62x54mmR 子彈。","内部マガジンから装填する 5 発ボルトアクション式ライフル。頑丈なため今でも使用できる。 7.62x54mmR 弾薬を使う。","Five shot bolt-action rifle, fed from internal magazine. Still usable today due to its sturdiness. Uses 7.62x54mmR rounds.","从内部弹匣送弹的五发手动栓式步枪。由于其非常坚固，至今仍可使用。使用 7.62x54mmR 子弹。",

"str_cfgweapons_m4a10",							"M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1","M4-A1",
"str_cfgweapons_m4a11",							"Selective-fire assault rifle, fed from a standardized detachable magazine. Offers a lot of customization with attachments. Uses 5.56x45mm rounds.","Selective-fire assault rifle, fed from a standardized detachable magazine. Offers a lot of customization with attachments. Uses 5.56x45mm rounds.","Útočná puška s možností volby režimu střelby. Munice dodávána standardizovaným odnímatelným zásobníkem, dá se rozsáhle upravit pomocí doplňků. Používá munici 5,56x45 mm.","Sturmgewehr mit selektivem Feuer und standardisiertem, abnehmbarem Magazin. Bietet zahlreiche Anpassungsmöglichkeiten durch Zubehör. Nutzt 5,56x45mm-Munition.","Автомат с переводчиком режимов огня и стандартным съемным магазином. Можно кастомизировать с помощью различных приспособлений. Использует патроны калибра 5,56x45 мм.","Karabin szturmowy z przełącznikiem ognia i uniwersalnym magazynkiem zewnętrznym. Można go łatwo rozbudować o akcesoria. Strzela amunicją 5,56x45 mm.","Selective-fire assault rifle, fed from a standardized detachable magazine. Offers a lot of customization with attachments. Uses 5.56x45mm rounds.","Fucile d’assalto con selettore di fuoco e caricatore estraibile standard. Molto personalizzabile grazie agli accessori. Usa munizioni calibro 5.56x45 mm.","Fusil de asalto de fuego selectivo, que se alimenta de un cargador estándar desmontable. Ofrece muchas posibilidades de personalización. Usa proyectiles de 5,56x45 mm.","Un fusil d'assaut de calibre 5,56x45 mm avec différents modes de tir et chargeur amovible standardisé. Entièrement personnalisable grâce aux accessoires.","可選射擊模式的突擊步槍，以可拆卸的標準彈匣供彈。可加裝自訂配件，配件種類眾多。使用 5.56x45mm 子彈。","標準化された取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。アタッチメントでかなりカスタマイズが可能。 5.56x45mm 弾薬を使う。","Selective-fire assault rifle, fed from a standardized detachable magazine. Offers a lot of customization with attachments. Uses 5.56x45mm rounds.","从标准化可拆卸弹匣送弹的选射突击步枪。附件可进行多种定制。使用 5.56x45mm 子弹。",

"str_cfgweapons_izh180",						"IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18",
"str_cfgweapons_izh181",						"Single shot break action hunting rifle. Designed with simplicity, built to last. Uses 7.62x39mm rounds.","Single shot break action hunting rifle. Designed with simplicity, built to last. Uses 7.62x39mm rounds.","Lámací lovecká puška na jednu ránu. Jednoduchá konstrukce, která vydrží věčnost. Používá munici 7,62x39 mm.","Einzelschuss-Jagdgewehr mit Kipplauf. Langlebig und leicht zu bedienen. Nutzt 7,62x39mm-Munition.","Однозарядная охотничья винтовка с переломным затвором. Простая конструкция, сделанная на века. Использует патроны калибра 7,62x39 мм.","Jednostrzałowy, łamany karabin myśliwski. Prostota, która opiera się czasowi. Strzela amunicją 7,62x39 mm.","Single shot break action hunting rifle. Designed with simplicity, built to last. Uses 7.62x39mm rounds.","Fucile da caccia a canna basculante e colpo singolo, dal design semplice e dalla costruzione duratura. Utilizza munizioni calibro 7.62x39 mm.","Escopeta de caza de cañón basculante, de un solo tiro. Diseñada para ser sencilla, pero fabricada para durar. Usa proyectiles de 7,62x39 mm.","Un fusil de calibre 7,62x39 mm à tir unique et à chargement entièrement manuel. De conception simple, il est très résistant.","單發中折式狩獵步槍。極簡設計，但能長久流傳。使用 7.62x39mm 子彈。","単発中折式狩猟用ライフル。シンプルなデザインで長持ちするように作られている。7.62x39mm 弾薬を使う。","Single shot break action hunting rifle. Designed with simplicity, built to last. Uses 7.62x39mm rounds.","单发折开式猎枪。设计简单，经久耐用。使用 7.62x39mm 子弹。",

"str_cfgweapons_fal0",							"FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL","FN FAL",
"str_cfgweapons_fal1",							"Selective-fire battle rifle, fed from a detachable magazine. Open for customization with attachments. Uses .308 WIN rounds.","Selective-fire battle rifle, fed from a detachable magazine. Open for customization with attachments. Uses .308 WIN rounds.","Bojová puška s možností volby režimu střelby. Munice dodávána odnímatelným zásobníkem, dá se upravit pomocí doplňků. Používá munici .308 WIN.","Kampfgewehr mit selektivem Feuer und abnehmbarem Magazin. Kann durch Zubehör erweitert werden. Nutzt .308 WIN-Munition.","Автоматическая винтовка с переводчиком режимов огня и съемным магазином. Можно добавлять различные приспособления. Использует патроны калибра .308 WIN.","Karabin bojowy z przełącznikiem ognia i uniwersalnym magazynkiem zewnętrznym. Można go łatwo rozbudować o akcesoria. Strzela amunicją .308 Win.","Selective-fire battle rifle, fed from a detachable magazine. Open for customization with attachments. Uses .308 WIN rounds.","Fucile da battaglia con selettore di fuoco e alimentazione a caricatore estraibile. Può essere personalizzato con degli accessori. Utilizza munizioni calibro .308 WIN.","Fusil de combate de fuego selectivo, que se alimenta de un cargador desmontable. Permite la personalización con accesorios. Usa proyectiles de .308 WIN.","Un fusil d’assaut avec différents modes de tir, accueillant un chargeur amovible de calibre .308 Win. Personnalisable grâce aux accessoires.","可選射擊模式的戰鬥步槍，以可拆卸的彈匣供彈。可加裝自訂配件。使用 .308 WIN 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能のバトルライフル。アタッチメントでカスタマイズが可能。.308 WIN 弾薬を使う。","Selective-fire battle rifle, fed from a detachable magazine. Open for customization with attachments. Uses .308 WIN rounds.","从可拆卸弹匣送弹的选射战斗步枪。可用附件进行定制。使用 .308 WIN 子弹。",

"str_cfgweapons_cz610",							"CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 スコーピオン","CZ-61 Skorpion","CZ-61 Skorpion",
"str_cfgweapons_cz611",							"Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.","Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.","Kompaktní samopal s možností volby režimu střelby. Munice dodávána odnímatelným zásobníkem. Často je ve výbavě jako záložní zbraň a používá munici .380 ACP","Kompakte Maschinenpistole mit selektivem Feuer und abnehmbarem Magazin. Wird oft als Zweitwaffe geführt. Nutzt .380 ACP-Munition.","Компактный пистолет-пулемет с переводчиком режимов огня и съемным магазином. Часто используется как пистолет. Использует патроны калибра .380 ACP.","Kompaktowy pistolet maszynowy z przełącznikiem ognia i magazynkiem zewnętrznym. Często używany jako broń zapasowa. Strzela amunicją .380 ACP.","Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.","Mitra compatto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Utilizzato spesso come arma da fianco. Utilizza munizioni calibro .380 ACP.","Metralleta de fuego selectivo compacta, alimentada por un cargador desmontable. Se suele utilizar como arma secundaria. Usa proyectiles de .380 ACP.","Un pistolet mitrailleur compact avec différents modes de tir accueillant un chargeur amovible de calibre .380 ACP. Sert souvent d'arme secondaire.","可選射擊模式的精簡機關槍，以可拆卸的彈匣供彈。常被當作配槍使用。使用 .380 ACP 子彈。","取り外し可能なマガジンから装填する、コンパクトなセレクティブファイア機能の短機関銃。頻繁にサイドアームとして使用される。.380 ACP 弾薬を使う。","Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.","从可拆卸弹匣送弹的小型选射冲锋枪。通常用作随身武器。使用 .380 ACP 子弹。",

"str_cfgweapons_cz5270",						"CZ-527","CZ-527","CZ-527","CZ-527","CZ-527","CZ-527","CZ-527","CZ-527","CZ-527","CZ-527","CZ-527","CZ-527","CZ-527","CZ-527",
"str_cfgweapons_cz5271",						"A bolt-action hunting rifle, fed from a detachable magazine. It is light and accurate at intermediate ranges. Uses 7.62x39mm rounds.","A bolt-action hunting rifle, fed from a detachable magazine. It is light and accurate at intermediate ranges. Uses 7.62x39mm rounds.","Opakovací lovecká puška, munice dodávána odnímatelným zásobníkem. Je lehká a na střední vzdálenost přesná. Používá munici 7,62x39 mm.","Ein Repetier-Jagdgewehr mit abnehmbarem Magazin. Leicht und präzise auf mittelgroße Reichweite. Nutzt 7.62x39mm-Munition.","Охотничье ружье со скользящим затвором и съемным магазином. Легкое и точное оружие при стрельбе на средние дистанции. Использует патроны калибра 7,62x39 мм.","Samopowtarzalny karabin z magazynkiem zewnętrznym. Lekki i celny na średnich dystansach. Strzela amunicją 7,62x39 mm.","A bolt-action hunting rifle, fed from a detachable magazine. It is light and accurate at intermediate ranges. Uses 7.62x39mm rounds.","Fucile da caccia a otturatore girevole-scorrevole con alimentazione mediante un caricatore estraibile. È leggero e preciso a medio raggio. Utilizza munizioni calibro 7.62x39 mm.","Un fusil de caza con recarga de cerrojo, que se alimenta de un cargador desmontable. Es ligero y preciso a media distancia. Usa proyectiles de 7,62x39 mm.","Un fusil de chasse à verrou de calibre 7,62x39 mm avec chargeur détachable. Léger et précis à une distance intermédiaire.","栓動狩獵步槍，以可拆卸的彈匣供彈。造型輕巧，在中距離時非常準確。使用 7.62x39mm 子彈。","取り外し可能なマガジンから装填する、ボルトアクション式狩猟用ライフル。軽量で中距離でも正確に撃ち抜ける。7.62x39mm 弾薬を使う。","A bolt-action hunting rifle, fed from a detachable magazine. It is light and accurate at intermediate ranges. Uses 7.62x39mm rounds.","一种栓式猎枪，从可拆卸弹匣送弹。它轻便、精确，中等射程。使用 7.62x39mm 子弹。",

"str_cfgweapons_b950",							"Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95",
"str_cfgweapons_b951",							"Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.",

"str_cfgweapons_mkii0",							"Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II",
"str_cfgweapons_mkii1",							"Semi-automatic, integrally-suppressed pistol, fed from a detachable magazine. Stealthy and lethal at short range. Uses .22 LR rounds.","Semi-automatic, integrally-suppressed pistol, fed from a detachable magazine. Stealthy and lethal at short range. Uses .22 LR rounds.","Poloautomatická pistole s integrovaným tlumičem. Munice dodávána odnímatelným zásobníkem. Jedná se o nenápadnou a na krátkou vzdálenost smrtelnou zbraň. Používá munici .22 LR.","Halbautomatische Pistole mit integriertem Schalldämpfer und abnehmbarem Magazin. Leise und tödlich auf kurze Distanz. Nutzt .22 LR-Munition.","Полуавтоматический пистолет с интегрированным глушителем и съемным магазином. Скрытный и смертельно опасный на близком расстоянии. Использует патроны 22LR.","Półautomatyczny pistolet z wbudowanym tłumikiem i magazynkiem zewnętrznym. Cichy i zabójczy na krótkim dystansie. Strzela amunicją .22 LR.","Semi-automatic, integrally-suppressed pistol, fed from a detachable magazine. Stealthy and lethal at short range. Uses .22 LR rounds.","Pistola semi-automatica completamente silenziata e alimentata mediante un caricatore estraibile. Arma furtiva e letale a corto raggio. Utilizza munizioni calibro .22 LR.","Pistola semiautomática y completamente silenciada, que usa un cargador desmontable. Sigilosa y letal a corta distancia. Usa proyectiles .22 LR.","Pistolet semi-automatique avec silencieux, alimenté grâce à un magazine amovible. Discret et létal à courte portée. Utilise des balles de calibre .22LR.","內部消音的半自動式手槍，以可拆卸的彈匣供彈。隱蔽性強，殺傷距離短。使用 .22LR 子弹。","取り外し可能なマガジンから装填する、セミオート式消音ピストル。ステルス性と近距離においての高い殺傷能力がある。.22 LR 弾薬を使う。","Semi-automatic, integrally-suppressed pistol, fed from a detachable magazine. Stealthy and lethal at short range. Uses .22 LR rounds.","从可拆卸弹匣送弹的整合式声音抑制半自动手枪。隐蔽性强，杀伤距离短。使用 .22LR 子弹。",

